Federated_Learning | DEBUG flwr 2024-04-29 02:10:04,069 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
Federated_Learning | DEBUG flwr 2024-04-29 02:10:04,071 | connection.py:55 | ChannelConnectivity.IDLE
Federated_Learning | DEBUG flwr 2024-04-29 02:10:04,072 | connection.py:55 | ChannelConnectivity.CONNECTING
Federated_Learning | DEBUG flwr 2024-04-29 02:10:04,075 | connection.py:55 | ChannelConnectivity.READY
Federated_Learning | DEBUG flwr 2024-04-29 02:10:12,319 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
Federated_Learning | DEBUG flwr 2024-04-29 02:10:12,323 | connection.py:55 | ChannelConnectivity.IDLE
Federated_Learning | DEBUG flwr 2024-04-29 02:10:12,323 | connection.py:55 | ChannelConnectivity.READY
Federated_Learning | DEBUG flwr 2024-04-29 02:10:22,336 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
Federated_Learning | DEBUG flwr 2024-04-29 02:10:22,338 | connection.py:55 | ChannelConnectivity.IDLE
Federated_Learning | DEBUG flwr 2024-04-29 02:10:22,338 | connection.py:55 | ChannelConnectivity.CONNECTING
Federated_Learning | DEBUG flwr 2024-04-29 02:10:22,339 | connection.py:55 | ChannelConnectivity.READY
Federated_Learning | INFO flwr 2024-04-29 02:10:22,341 | app.py:458 | 
Federated_Learning | INFO flwr 2024-04-29 02:10:22,342 | app.py:459 | [RUN 0, ROUND ]
Federated_Learning | INFO flwr 2024-04-29 02:10:22,342 | app.py:465 | Received: get_parameters message b176a382-b116-40cb-af2d-6ac26b064b08
Federated_Learning | INFO flwr 2024-04-29 02:10:22,348 | app.py:534 | Sent reply
Federated_Learning | INFO flwr 2024-04-29 02:10:22,369 | app.py:458 | 
Federated_Learning | INFO flwr 2024-04-29 02:10:22,369 | app.py:459 | [RUN 0, ROUND ]
Federated_Learning | INFO flwr 2024-04-29 02:10:22,369 | app.py:465 | Received: train message 7c96b878-3fc5-4cfd-9af5-bc565c3fa00a
Federated_Learning | INFO flwr 2024-04-29 02:10:22,375 | app.py:458 | 
Federated_Learning | INFO flwr 2024-04-29 02:10:22,376 | app.py:459 | [RUN 0, ROUND ]
Federated_Learning | INFO flwr 2024-04-29 02:10:22,376 | app.py:465 | Received: train message af2d30cb-bc24-438b-a915-a52ac219b352
Federated_Learning | INFO flwr 2024-04-29 02:10:22,377 | app.py:458 | 
Federated_Learning | INFO flwr 2024-04-29 02:10:22,378 | app.py:459 | [RUN 0, ROUND ]
Federated_Learning | INFO flwr 2024-04-29 02:10:22,378 | app.py:465 | Received: train message e322713d-3175-46e7-912a-4dbcd8db239f
Federated_Learning | INFO flwr 2024-04-29 02:10:32,868 | client.py:232 | Node 1 is transmitter for slot 0
Federated_Learning | INFO flwr 2024-04-29 02:10:32,869 | client.py:309 | There is a delay of 0.704 ms between this node and node 1
Federated_Learning | INFO flwr 2024-04-29 02:10:32,871 | client.py:232 | Node 2 is transmitter for slot 1
Federated_Learning | INFO flwr 2024-04-29 02:10:32,872 | client.py:309 | There is a delay of 0.429 ms between this node and node 2
Federated_Learning | INFO flwr 2024-04-29 02:10:32,874 | client.py:232 | Node 2 is transmitter for slot 2
Federated_Learning | INFO flwr 2024-04-29 02:10:32,874 | client.py:309 | There is a delay of 0.412 ms between this node and node 2
Federated_Learning | INFO flwr 2024-04-29 02:10:32,890 | client.py:232 | Node 1 is transmitter for slot 3
Federated_Learning | INFO flwr 2024-04-29 02:10:32,891 | client.py:309 | There is a delay of 0.585 ms between this node and node 1
Federated_Learning | INFO flwr 2024-04-29 02:10:32,893 | client.py:232 | Node 1 is transmitter for slot 4
Federated_Learning | INFO flwr 2024-04-29 02:10:32,893 | client.py:309 | There is a delay of 0.437 ms between this node and node 1
Federated_Learning | INFO flwr 2024-04-29 02:10:32,898 | client.py:232 | Node 2 is transmitter for slot 5
Federated_Learning | INFO flwr 2024-04-29 02:10:32,899 | client.py:309 | There is a delay of 0.558 ms between this node and node 2
Federated_Learning | INFO flwr 2024-04-29 02:10:32,900 | client.py:232 | Node 2 is transmitter for slot 6
Federated_Learning | INFO flwr 2024-04-29 02:10:32,921 | client.py:309 | There is a delay of 19.983 ms between this node and node 2
Federated_Learning | INFO flwr 2024-04-29 02:10:32,951 | app.py:534 | Sent reply
Federated_Learning | INFO flwr 2024-04-29 02:10:32,953 | app.py:534 | Sent reply
Federated_Learning | INFO flwr 2024-04-29 02:10:32,950 | app.py:534 | Sent reply
Federated_Learning | INFO flwr 2024-04-29 02:10:32,983 | app.py:458 | 
Federated_Learning | INFO flwr 2024-04-29 02:10:32,983 | app.py:459 | [RUN 0, ROUND ]
Federated_Learning | INFO flwr 2024-04-29 02:10:32,984 | app.py:465 | Received: evaluate message 534ba735-e750-4519-a7af-85cddacd1890
Federated_Learning | INFO flwr 2024-04-29 02:10:32,990 | app.py:458 | 
Federated_Learning | INFO flwr 2024-04-29 02:10:32,990 | app.py:459 | [RUN 0, ROUND ]
Federated_Learning | INFO flwr 2024-04-29 02:10:32,990 | app.py:465 | Received: evaluate message 7a8e6a97-20ea-4f4d-b7c5-0dd57c5ac1f0
Federated_Learning | INFO flwr 2024-04-29 02:10:33,002 | app.py:458 | 
Federated_Learning | INFO flwr 2024-04-29 02:10:33,002 | app.py:459 | [RUN 0, ROUND ]
Federated_Learning | INFO flwr 2024-04-29 02:10:33,002 | app.py:465 | Received: evaluate message 9e021eb8-6c9e-46b6-bea4-652494a99794
Federated_Learning | INFO flwr 2024-04-29 02:10:33,005 | app.py:534 | Sent reply
Federated_Learning | INFO flwr 2024-04-29 02:10:34,701 | app.py:534 | Sent reply
Federated_Learning | INFO flwr 2024-04-29 02:10:34,748 | app.py:534 | Sent reply
Federated_Learning | INFO flwr 2024-04-29 02:10:34,760 | app.py:458 | 
Federated_Learning | INFO flwr 2024-04-29 02:10:34,760 | app.py:459 | [RUN 0, ROUND ]
Federated_Learning | INFO flwr 2024-04-29 02:10:34,760 | app.py:465 | Received: train message 6645e635-070b-45d6-ab02-3be6ac7d09e9
Federated_Learning | INFO flwr 2024-04-29 02:10:34,768 | app.py:458 | 
Federated_Learning | INFO flwr 2024-04-29 02:10:34,768 | app.py:459 | [RUN 0, ROUND ]
Federated_Learning | INFO flwr 2024-04-29 02:10:34,768 | app.py:465 | Received: train message d36e998d-ed7a-420c-a4b3-a4051670ee95
Federated_Learning | INFO flwr 2024-04-29 02:10:34,779 | app.py:458 | 
Federated_Learning | INFO flwr 2024-04-29 02:10:34,779 | app.py:459 | [RUN 0, ROUND ]
Federated_Learning | INFO flwr 2024-04-29 02:10:34,779 | app.py:465 | Received: train message 20e4825c-c81e-41dd-9918-3b1fc080fbd7
Federated_Learning | INFO flwr 2024-04-29 02:10:44,084 | client.py:232 | Node 2 is transmitter for slot 0
Federated_Learning | INFO flwr 2024-04-29 02:10:44,086 | client.py:309 | There is a delay of 0.844 ms between this node and node 2
Federated_Learning | INFO flwr 2024-04-29 02:10:44,201 | client.py:232 | Node 1 is transmitter for slot 1
Federated_Learning | INFO flwr 2024-04-29 02:10:44,202 | client.py:309 | There is a delay of 0.46799999999999997 ms between this node and node 1
Federated_Learning | INFO flwr 2024-04-29 02:10:44,203 | client.py:232 | Node 1 is transmitter for slot 2
Federated_Learning | INFO flwr 2024-04-29 02:10:44,204 | client.py:309 | There is a delay of 0.5469999999999999 ms between this node and node 1
Federated_Learning | INFO flwr 2024-04-29 02:10:44,208 | client.py:232 | Node 2 is transmitter for slot 3
Federated_Learning | INFO flwr 2024-04-29 02:10:44,209 | client.py:309 | There is a delay of 0.519 ms between this node and node 2
Federated_Learning | INFO flwr 2024-04-29 02:10:44,211 | client.py:232 | Node 2 is transmitter for slot 4
Federated_Learning | INFO flwr 2024-04-29 02:10:44,211 | client.py:309 | There is a delay of 0.47300000000000003 ms between this node and node 2
Federated_Learning | INFO flwr 2024-04-29 02:10:44,215 | client.py:232 | Node 1 is transmitter for slot 5
Federated_Learning | INFO flwr 2024-04-29 02:10:44,215 | client.py:309 | There is a delay of 0.504 ms between this node and node 1
Federated_Learning | INFO flwr 2024-04-29 02:10:44,216 | client.py:232 | Node 1 is transmitter for slot 6
Federated_Learning | INFO flwr 2024-04-29 02:10:44,237 | client.py:309 | There is a delay of 20.544 ms between this node and node 1
Federated_Learning | INFO flwr 2024-04-29 02:10:44,260 | app.py:534 | Sent reply
Federated_Learning | INFO flwr 2024-04-29 02:10:44,265 | app.py:534 | Sent reply
Federated_Learning | INFO flwr 2024-04-29 02:10:44,266 | app.py:534 | Sent reply
Federated_Learning | INFO flwr 2024-04-29 02:10:44,278 | app.py:458 | 
Federated_Learning | INFO flwr 2024-04-29 02:10:44,279 | app.py:459 | [RUN 0, ROUND ]
Federated_Learning | INFO flwr 2024-04-29 02:10:44,279 | app.py:465 | Received: evaluate message 34059f52-306c-4223-a1f1-b4e2b022d243
Federated_Learning | INFO flwr 2024-04-29 02:10:44,289 | app.py:458 | 
Federated_Learning | INFO flwr 2024-04-29 02:10:44,289 | app.py:459 | [RUN 0, ROUND ]
Federated_Learning | INFO flwr 2024-04-29 02:10:44,289 | app.py:465 | Received: evaluate message fdace01b-e788-4107-989a-4433da480f56
Federated_Learning | INFO flwr 2024-04-29 02:10:44,291 | app.py:534 | Sent reply
Federated_Learning | INFO flwr 2024-04-29 02:10:44,294 | app.py:458 | 
Federated_Learning | INFO flwr 2024-04-29 02:10:44,294 | app.py:459 | [RUN 0, ROUND ]
Federated_Learning | INFO flwr 2024-04-29 02:10:44,294 | app.py:465 | Received: evaluate message 7aaebaa0-225c-489a-962a-3743b69dba40
Federated_Learning | INFO flwr 2024-04-29 02:10:45,943 | app.py:534 | Sent reply
Federated_Learning | INFO flwr 2024-04-29 02:10:45,986 | app.py:534 | Sent reply
Federated_Learning | INFO flwr 2024-04-29 02:10:46,005 | app.py:458 | 
Federated_Learning | INFO flwr 2024-04-29 02:10:46,005 | app.py:459 | [RUN 0, ROUND ]
Federated_Learning | INFO flwr 2024-04-29 02:10:46,005 | app.py:465 | Received: train message 02fb1572-cba6-4dc0-9e33-cd9e6f4190b5
Federated_Learning | INFO flwr 2024-04-29 02:10:46,007 | app.py:458 | 
Federated_Learning | INFO flwr 2024-04-29 02:10:46,007 | app.py:459 | [RUN 0, ROUND ]
Federated_Learning | INFO flwr 2024-04-29 02:10:46,007 | app.py:465 | Received: train message 6c95de17-d25d-49d7-a6e8-b669109ac2ad
Federated_Learning | INFO flwr 2024-04-29 02:10:46,019 | app.py:458 | 
Federated_Learning | INFO flwr 2024-04-29 02:10:46,020 | app.py:459 | [RUN 0, ROUND ]
Federated_Learning | INFO flwr 2024-04-29 02:10:46,020 | app.py:465 | Received: train message 69d7f4f5-2c46-44ca-b516-1471a893ecf7
Federated_Learning | INFO flwr 2024-04-29 02:10:56,864 | client.py:232 | Node 1 is transmitter for slot 0
Federated_Learning | INFO flwr 2024-04-29 02:10:56,865 | client.py:309 | There is a delay of 0.48000000000000004 ms between this node and node 1
Federated_Learning | INFO flwr 2024-04-29 02:10:57,207 | client.py:232 | Node 2 is transmitter for slot 1
Federated_Learning | INFO flwr 2024-04-29 02:10:57,208 | client.py:309 | There is a delay of 0.8170000000000001 ms between this node and node 2
Federated_Learning | INFO flwr 2024-04-29 02:10:57,210 | client.py:232 | Node 2 is transmitter for slot 2
Federated_Learning | INFO flwr 2024-04-29 02:10:57,211 | client.py:309 | There is a delay of 0.639 ms between this node and node 2
Federated_Learning | INFO flwr 2024-04-29 02:10:57,216 | client.py:232 | Node 1 is transmitter for slot 3
Federated_Learning | INFO flwr 2024-04-29 02:10:57,217 | client.py:309 | There is a delay of 0.628 ms between this node and node 1
Federated_Learning | INFO flwr 2024-04-29 02:10:57,219 | client.py:232 | Node 1 is transmitter for slot 4
