Federated_Learning | INFO flwr 2024-04-29 13:47:16,456 | app.py:150 | Starting Flower server, config: num_rounds=1000, no round_timeout
Federated_Learning | INFO flwr 2024-04-29 13:47:16,467 | app.py:163 | Flower ECE: gRPC server running (1000 rounds), SSL is disabled
Federated_Learning | INFO flwr 2024-04-29 13:47:16,467 | server.py:92 | [INIT]
Federated_Learning | INFO flwr 2024-04-29 13:47:16,468 | server.py:279 | Requesting initial parameters from one random client
Federated_Learning | INFO flwr 2024-04-29 13:47:29,835 | server.py:285 | Received initial parameters from one random client
Federated_Learning | INFO flwr 2024-04-29 13:47:29,837 | server.py:94 | Evaluating initial global parameters
Federated_Learning | INFO flwr 2024-04-29 13:47:29,838 | server.py:110 | 
Federated_Learning | INFO flwr 2024-04-29 13:47:29,838 | server.py:111 | [ROUND 1]
Federated_Learning | INFO flwr 2024-04-29 13:47:29,840 | server.py:224 | configure_fit: strategy sampled 4 clients (out of 4)
Federated_Learning | INFO flwr 2024-04-29 13:48:42,737 | server.py:238 | aggregate_fit: received 4 results and 0 failures
Federated_Learning | WARNING flwr 2024-04-29 13:48:42,739 | strategy.py:257 | No fit_metrics_aggregation_fn provided
Federated_Learning | INFO flwr 2024-04-29 13:48:42,740 | server.py:176 | configure_evaluate: strategy sampled 4 clients (out of 4)
Federated_Learning | INFO flwr 2024-04-29 13:48:54,134 | server.py:190 | aggregate_evaluate: received 4 results and 0 failures
Federated_Learning | INFO flwr 2024-04-29 13:48:54,134 | server.py:59 | {'accuracy': 0.10387922415516897, 'loss': 241.464474995931}
Federated_Learning | INFO flwr 2024-04-29 13:48:54,134 | strategy.py:293 | There was a delay of 84.295514 seconds for round 1
Federated_Learning | INFO flwr 2024-04-29 13:48:54,134 | server.py:110 | 
Federated_Learning | INFO flwr 2024-04-29 13:48:54,135 | server.py:111 | [ROUND 2]
Federated_Learning | INFO flwr 2024-04-29 13:48:54,135 | server.py:224 | configure_fit: strategy sampled 4 clients (out of 4)
Federated_Learning | INFO flwr 2024-04-29 13:50:16,008 | server.py:238 | aggregate_fit: received 4 results and 0 failures
Federated_Learning | INFO flwr 2024-04-29 13:50:16,011 | server.py:176 | configure_evaluate: strategy sampled 4 clients (out of 4)
Federated_Learning | INFO flwr 2024-04-29 13:50:26,327 | server.py:190 | aggregate_evaluate: received 4 results and 0 failures
Federated_Learning | INFO flwr 2024-04-29 13:50:26,328 | server.py:59 | {'accuracy': 0.1936612677464507, 'loss': 238.93474872907004}
Federated_Learning | INFO flwr 2024-04-29 13:50:26,329 | strategy.py:293 | There was a delay of 92.193654 seconds for round 2
Federated_Learning | INFO flwr 2024-04-29 13:50:26,329 | server.py:110 | 
Federated_Learning | INFO flwr 2024-04-29 13:50:26,329 | server.py:111 | [ROUND 3]
Federated_Learning | INFO flwr 2024-04-29 13:50:26,330 | server.py:224 | configure_fit: strategy sampled 4 clients (out of 4)
Federated_Learning | INFO flwr 2024-04-29 13:51:45,473 | server.py:238 | aggregate_fit: received 4 results and 0 failures
Federated_Learning | INFO flwr 2024-04-29 13:51:45,475 | server.py:176 | configure_evaluate: strategy sampled 4 clients (out of 4)
Federated_Learning | INFO flwr 2024-04-29 13:51:56,807 | server.py:190 | aggregate_evaluate: received 4 results and 0 failures
Federated_Learning | INFO flwr 2024-04-29 13:51:56,808 | server.py:59 | {'accuracy': 0.23305338932213557, 'loss': 222.10122561454773}
Federated_Learning | INFO flwr 2024-04-29 13:51:56,808 | strategy.py:293 | There was a delay of 90.479096 seconds for round 3
Federated_Learning | INFO flwr 2024-04-29 13:51:56,809 | server.py:110 | 
Federated_Learning | INFO flwr 2024-04-29 13:51:56,809 | server.py:111 | [ROUND 4]
Federated_Learning | INFO flwr 2024-04-29 13:51:56,811 | server.py:224 | configure_fit: strategy sampled 4 clients (out of 4)
Federated_Learning | INFO flwr 2024-04-29 13:53:14,032 | server.py:238 | aggregate_fit: received 4 results and 0 failures
Federated_Learning | INFO flwr 2024-04-29 13:53:14,034 | server.py:176 | configure_evaluate: strategy sampled 4 clients (out of 4)
Federated_Learning | INFO flwr 2024-04-29 13:53:28,466 | server.py:190 | aggregate_evaluate: received 4 results and 0 failures
Federated_Learning | INFO flwr 2024-04-29 13:53:28,467 | server.py:59 | {'accuracy': 0.277744451109778, 'loss': 210.0786997874578}
Federated_Learning | INFO flwr 2024-04-29 13:53:28,467 | strategy.py:293 | There was a delay of 91.65756 seconds for round 4
Federated_Learning | INFO flwr 2024-04-29 13:53:28,467 | server.py:110 | 
Federated_Learning | INFO flwr 2024-04-29 13:53:28,467 | server.py:111 | [ROUND 5]
Federated_Learning | INFO flwr 2024-04-29 13:53:28,468 | server.py:224 | configure_fit: strategy sampled 4 clients (out of 4)
Federated_Learning | INFO flwr 2024-04-29 13:54:34,329 | server.py:238 | aggregate_fit: received 4 results and 0 failures
Federated_Learning | INFO flwr 2024-04-29 13:54:34,330 | server.py:176 | configure_evaluate: strategy sampled 4 clients (out of 4)
Federated_Learning | INFO flwr 2024-04-29 13:54:45,338 | server.py:190 | aggregate_evaluate: received 4 results and 0 failures
Federated_Learning | INFO flwr 2024-04-29 13:54:45,338 | server.py:59 | {'accuracy': 0.3092381523695261, 'loss': 201.88991196950278}
Federated_Learning | INFO flwr 2024-04-29 13:54:45,338 | strategy.py:293 | There was a delay of 76.8707 seconds for round 5
Federated_Learning | INFO flwr 2024-04-29 13:54:45,338 | server.py:110 | 
Federated_Learning | INFO flwr 2024-04-29 13:54:45,338 | server.py:111 | [ROUND 6]
Federated_Learning | INFO flwr 2024-04-29 13:54:45,339 | server.py:224 | configure_fit: strategy sampled 4 clients (out of 4)
Federated_Learning | INFO flwr 2024-04-29 13:55:58,855 | server.py:238 | aggregate_fit: received 4 results and 0 failures
Federated_Learning | INFO flwr 2024-04-29 13:55:58,858 | server.py:176 | configure_evaluate: strategy sampled 4 clients (out of 4)
Federated_Learning | INFO flwr 2024-04-29 13:56:10,545 | server.py:190 | aggregate_evaluate: received 4 results and 0 failures
Federated_Learning | INFO flwr 2024-04-29 13:56:10,546 | server.py:59 | {'accuracy': 0.3156368726254749, 'loss': 195.23276682694754}
Federated_Learning | INFO flwr 2024-04-29 13:56:10,546 | strategy.py:293 | There was a delay of 85.207582 seconds for round 6
Federated_Learning | INFO flwr 2024-04-29 13:56:10,546 | server.py:110 | 
Federated_Learning | INFO flwr 2024-04-29 13:56:10,546 | server.py:111 | [ROUND 7]
Federated_Learning | INFO flwr 2024-04-29 13:56:10,547 | server.py:224 | configure_fit: strategy sampled 4 clients (out of 4)
Federated_Learning | INFO flwr 2024-04-29 13:57:26,472 | server.py:238 | aggregate_fit: received 4 results and 0 failures
Federated_Learning | INFO flwr 2024-04-29 13:57:26,474 | server.py:176 | configure_evaluate: strategy sampled 4 clients (out of 4)
Federated_Learning | INFO flwr 2024-04-29 13:57:37,303 | server.py:190 | aggregate_evaluate: received 4 results and 0 failures
Federated_Learning | INFO flwr 2024-04-29 13:57:37,304 | server.py:59 | {'accuracy': 0.3683263347330534, 'loss': 182.79462810357413}
Federated_Learning | INFO flwr 2024-04-29 13:57:37,304 | strategy.py:293 | There was a delay of 86.757449 seconds for round 7
Federated_Learning | INFO flwr 2024-04-29 13:57:37,304 | server.py:110 | 
Federated_Learning | INFO flwr 2024-04-29 13:57:37,304 | server.py:111 | [ROUND 8]
Federated_Learning | INFO flwr 2024-04-29 13:57:37,305 | server.py:224 | configure_fit: strategy sampled 4 clients (out of 4)
Federated_Learning | INFO flwr 2024-04-29 13:58:45,703 | server.py:238 | aggregate_fit: received 4 results and 0 failures
Federated_Learning | INFO flwr 2024-04-29 13:58:45,705 | server.py:176 | configure_evaluate: strategy sampled 4 clients (out of 4)
Federated_Learning | INFO flwr 2024-04-29 13:58:56,759 | server.py:190 | aggregate_evaluate: received 4 results and 0 failures
Federated_Learning | INFO flwr 2024-04-29 13:58:56,759 | server.py:59 | {'accuracy': 0.3878224355128974, 'loss': 175.3830418586731}
Federated_Learning | INFO flwr 2024-04-29 13:58:56,760 | strategy.py:293 | There was a delay of 79.455249 seconds for round 8
Federated_Learning | INFO flwr 2024-04-29 13:58:56,760 | server.py:110 | 
